TicketID,CreationDate,ResolutionDate,Status,Category,System,Version,Issue_Summary,Resolution_Notes,SOP_Reference
INC-10021,2024-01-22 10:15:00,2024-01-22 10:25:00,Closed,Identity,Active Directory,N/A,Legacy user AuthErr-775,Unlocked via AD-LEGACY-02.,SOP-IDM-012
INC-10022,2024-01-25 14:00:00,2024-01-25 14:15:00,Closed,Network,GlobalProtect VPN,6.1.2,Error 45 on cellular hotspot,Changed MTU to 1350 for cellular connection.,SOP-NET-088
CR-20008,2024-02-03 02:00:00,2024-02-03 04:30:00,Closed,Database,PostgreSQL,13.4 -> 15.2,Migrate Finance DB,Successfully migrated. work_mem set to 64MB.,SOP-DB-004
INC-10023,2024-02-05 08:30:00,2024-02-05 08:45:00,Closed,Identity,Active Directory,N/A,Account locked,Unlocked via AD-CORE-01.,SOP-IDM-012
CR-20009,2024-02-17 23:00:00,2024-02-18 01:00:00,Closed,Middleware,WebLogic,14.1.1,Apply Q1 CPU patch,Verified JDK 11.0.17 present. Applied patch. AdminServer.log showed RUNNING.,SOP-APP-009
INC-10024,2024-02-19 09:00:00,2024-02-19 09:15:00,Closed,Network,GlobalProtect VPN,6.1.2,Error 99 for new hire,Pushed missing certificate GP_Root_2024.cer.,SOP-NET-088
INC-10025,2024-02-21 11:00:00,2024-02-21 11:20:00,Closed,Identity,Active Directory,N/A,AuthErr-774,Password expired. Assisted user with reset.,SOP-IDM-012
CR-20010,2024-03-02 02:00:00,2024-03-02 04:30:00,Failed,Database,PostgreSQL,13.7 -> 15.2,Migrate Analytics DB,Exceeded 150 min window. Ran pg_rollback_v2.sh.,SOP-DB-004
INC-10026,2024-03-05 14:10:00,2024-03-05 14:20:00,Closed,Network,GlobalProtect VPN,5.0.1,Cannot connect old laptop,Forced upgrade to 6.1.2.,SOP-NET-088
INC-10027,2024-03-08 10:05:00,2024-03-08 10:15:00,Closed,Identity,Active Directory,N/A,AuthErr-779,Directed to HR Ops for disabled account.,SOP-IDM-012
CR-20011,2024-03-16 02:00:00,2024-03-16 04:00:00,Closed,Infrastructure,Cisco Nexus,9.1 -> 9.3(5),Upgrade access switches,Followed mandatory path via 9.2(3). Successful.,SOP-INF-045
INC-10028,2024-03-18 09:00:00,2024-03-18 09:10:00,Closed,Identity,Active Directory,N/A,Legacy login issue AuthErr-775,Unlocked via AD-LEGACY-02.,SOP-IDM-012
INC-10029,2024-03-20 15:30:00,2024-03-20 15:40:00,Closed,Network,GlobalProtect VPN,6.1.2,Error 45 on satellite connection,Updated MTU to 1350.,SOP-NET-088
CR-20012,2024-04-06 23:00:00,2024-04-07 00:30:00,Closed,Middleware,WebLogic,14.1.1,Patch deployment ERP Node 2,Backup created. Patch applied. Status RUNNING.,SOP-APP-009
INC-10030,2024-04-08 08:45:00,2024-04-08 09:00:00,Closed,Identity,Active Directory,N/A,AuthErr-775,Unlocked via AD-CORE-01.,SOP-IDM-012
INC-10031,2024-04-10 10:10:00,2024-04-10 10:20:00,Closed,Network,GlobalProtect VPN,6.1.2,Error 99,Installed GP_Root_2024.cer.,SOP-NET-088
INC-10032,2024-04-12 11:15:00,2024-04-12 11:30:00,Closed,Database,PostgreSQL,15.2,Poor performance on CRM DB,Increased work_mem to 64MB as per SOP-DB-004.,SOP-DB-004
INC-10033,2024-04-15 09:20:00,2024-04-15 09:30:00,Closed,Identity,Active Directory,N/A,AuthErr-774,Password reset assistance provided.,SOP-IDM-012
CR-20013,2024-04-20 02:00:00,2024-04-20 04:30:00,Closed,Database,PostgreSQL,13.4 -> 15.2,Migrate Marketing DB,Completed. Verified max_connections=500.,SOP-DB-004
INC-10034,2024-04-22 13:40:00,2024-04-22 13:50:00,Closed,Network,GlobalProtect VPN,6.1.2,Error 45,Fixed MTU to 1350.,SOP-NET-088
INC-10035,2024-04-25 14:00:00,2024-04-25 14:15:00,Closed,Identity,Active Directory,N/A,AuthErr-779,Consulted HR Ops.,SOP-IDM-012
CR-20014,2024-05-04 02:00:00,2024-05-04 04:00:00,Closed,Infrastructure,Cisco Nexus,9.2(3) -> 9.3(5),Upgrade core 3,Direct upgrade successful. MD5 a1b2c3d4e5f6 verified.,SOP-INF-045
INC-10036,2024-05-06 08:30:00,2024-05-06 08:40:00,Closed,Identity,Active Directory,N/A,Legacy user locked out AuthErr-775,Unlocked via AD-LEGACY-02.,SOP-IDM-012
CR-20015,2024-05-11 23:00:00,2024-05-12 01:00:00,Closed,Middleware,WebLogic,14.1.1,Patch deployment Portal,Verified JDK 11.0.17. Applied patch.,SOP-APP-009
INC-10037,2024-05-13 09:00:00,2024-05-13 09:30:00,Closed,Middleware,WebLogic,14.1.1,Portal stuck in ADMIN state,Corrected invalid JDBC parameter. Restarted to RUNNING state.,SOP-APP-009
INC-10038,2024-05-15 10:15:00,2024-05-15 10:30:00,Closed,Network,GlobalProtect VPN,5.2.0,VPN disconnected by policy,Upgraded to 6.1.2.,SOP-NET-088
INC-10039,2024-05-18 11:00:00,2024-05-18 11:10:00,Closed,Identity,Active Directory,N/A,AuthErr-775,Unlocked via AD-CORE-01.,SOP-IDM-012
INC-10040,2024-05-20 14:20:00,2024-05-20 14:30:00,Closed,Network,GlobalProtect VPN,6.1.2,Error 99 reported,Pushed GP_Root_2024.cer.,SOP-NET-088
